TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor2_row36441_cand000492,rosetta_sidechain,580.9409654769573,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,94.4647410519928,94.4647410519928,107.59113201994637,2.7284841053187847e-12
Non-binding_donor2_row36144_cand000570,rosetta_sidechain,1034.148829644659,AB,MP,P,M,MP_AB,M_P,-2.0999925893277123,-2.0999925893277123,614.3121471154205,-21.49420464242428,-21.49420464242428,1777.3483022635653,-2.099992588896612
Non-binding_donor2_row36486_cand000486,rosetta_sidechain,22544.895215565484,AB,MP,P,M,MP_AB,M_P,417.8846624823491,417.8846624823491,729.0634109429751,21554.228369506523,21554.228369506523,1517.9972390680573,417.8846624816724
Non-binding_donor2_row36523_cand000189,rosetta_sidechain,1782.3427118881207,AB,MP,P,M,MP_AB,M_P,-5.093491131447081e-05,-5.093491131447081e-05,0.0,-0.42749903932792677,-0.42749903932792677,36.616565556763845,-5.093521372145915e-05
Non-binding_donor2_row36568_cand000186,rosetta_sidechain,8519.021392943576,AB,MP,P,M,MP_AB,M_P,-0.7474466872499761,-0.7474466872499761,69.61157291563944,5785.341632732124,5785.341632732124,1019.3223935067678,-0.7474466872336052
Non-binding_donor2_row36670_cand000361,rosetta_sidechain,497.64895931880034,AB,MP,P,M,MP_AB,M_P,105.16025207446711,105.16025207446711,813.4895790171283,-10.584057837120781,-10.584057837120781,874.0837183053762,105.16025207443158
Non-binding_donor2_row36935_cand000375,rosetta_sidechain,749.2979492529188,AB,MP,P,M,MP_AB,M_P,57.07048635258661,57.07048635258661,165.2239207457125,0.0,0.0,0.0,57.07048635275453
Non-binding_donor2_row37001_cand000540,rosetta_sidechain,8328.10065864055,AB,MP,P,M,MP_AB,M_P,1051.413411541911,1051.413411541911,318.3176325356487,1.3166545775958411,1.3166545775958411,120.27738736137024,1051.4134115417237
Non-binding_donor2_row37095_cand000388,rosetta_sidechain,705.8116152418875,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.01930569346438915,-0.01930569346438915,81.30663638230865,-3.637978807091713e-12
Non-binding_donor2_row36673_cand000503,rosetta_sidechain,8979.288488578874,AB,MP,P,M,MP_AB,M_P,-1.9142017724370817,-1.9142017724370817,208.13056759945601,1859.8341140429877,1859.8341140429877,459.7757461657859,-1.9142017723133904
