tcr_name,BA_unbound,BC1_unbound,AC1_unbound,BC2_unbound,AC2_unbound,dc_unbound,alpha_cdr3_bend_deg_unbound,alpha_cdr3_apex_height_A_unbound,beta_cdr3_bend_deg_unbound,beta_cdr3_apex_height_A_unbound,BA_bound,BC1_bound,AC1_bound,BC2_bound,AC2_bound,dc_bound,alpha_cdr3_bend_deg_bound,alpha_cdr3_apex_height_A_bound,beta_cdr3_bend_deg_bound,beta_cdr3_apex_height_A_bound,germline_label,germline_collapsed
3utt,-72.36323520639216,102.00813250420015,-108.54371025330651,-161.9354489572973,151.59358789699343,25.99110436438611,165.1123783533577,15.987684038025892,156.79016573349259,16.060685257264282,-74.00882350965816,100.25889540547337,-109.76702845972416,-160.20439117860295,151.58963751476085,26.500354197636074,163.53210885411409,16.34326986620716,142.80706110803442,15.90861464704383,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
3vxr,-70.41275519188305,104.15642781103548,-108.97236672358036,-160.49896326834417,147.08394857405375,25.61904496348523,165.2471960065326,16.089327021270698,171.52601810975636,16.702198203854767,-66.27055181239548,104.15969934441546,-109.913360706176,-161.5337008316645,145.66867832833577,25.6335397408176,172.17783440863735,14.910243903147087,166.69643869484264,16.54699515171719,TRAV21*01-TRAJ12*01|TRBV7-9*01-TRBJ2-2*01,TRAV21*01-TRAJ12*01|TRBV7-9*01-TRBJ2-2*01
3vxs,-70.41295483786486,104.1562506081172,-108.9718752923402,-160.4990099726485,147.0840939275064,25.619036924965805,165.24294622026918,16.089345735595547,171.5338073249237,16.70236069875788,-65.96297863737979,104.49571041065411,-110.1468209687677,-161.26378871725396,144.74180195707208,25.888862438236917,171.2929104012007,14.812773327157965,168.2625923873939,16.38205617092447,TRAV21*01-TRAJ12*01|TRBV7-9*01-TRBJ2-2*01,TRAV21*01-TRAJ12*01|TRBV7-9*01-TRBJ2-2*01
3w0w,-59.28016703593157,107.95125307995522,-106.80850883536156,-155.90376229004943,149.63301016068192,26.692175560220782,-171.67634657619146,14.04229543922962,161.60612187418099,14.510216243596744,-65.35730067829572,106.43743372077131,-111.05655631315383,-156.58861392032648,145.65230529841926,26.242069522475884,-177.75786127632165,13.17878668612942,162.7230314126059,15.538289189353195,TRAV12-2*01-TRAJ23*01|TRBV27*01-TRBJ2-7*01,other
4jfd,-65.58912355471963,104.65066828861046,-110.25704153541857,-161.51061164556145,145.90033965477164,25.921923597671444,151.37424682937768,13.850607637953306,174.87088598294798,20.01429383291753,-68.79050028976646,103.03821470150837,-110.26408395887692,-163.17722634932156,144.90298838726358,25.90853171060561,137.8581550869642,12.5182222623684,162.15157167672714,17.561129361856665,TRAV12-2*01-TRAJ27*01|TRBV30*02-TRBJ2-2*01,TRAV12-2*01-TRAJ27*01|TRBV30*02-TRBJ2-2*01
4jff,-65.58936565028525,104.65061641739788,-110.25707567056983,-161.51113914367804,145.9000771127454,25.92195267352043,151.37719356606647,13.85112895639733,174.86591107556222,20.01370004522981,-68.94121412720682,102.92614147737174,-110.02259163091462,-163.23456790474316,144.86532712025507,25.81816393631219,138.92540435306375,12.7083804087314,162.5966061074331,17.55718019777381,TRAV12-2*01-TRAJ27*01|TRBV30*02-TRBJ2-2*01,TRAV12-2*01-TRAJ27*01|TRBV30*02-TRBJ2-2*01
5c07,-72.36208621889878,102.00850901063347,-108.54396891670348,-161.9357750663591,151.59374419226094,25.991161762517777,165.10978435080028,15.98710511242428,156.79725266282514,16.059660942202132,-73.84862824521312,99.27342221398806,-109.80563558997116,-160.20966733283078,149.31105343132947,26.2875830081694,163.15694377983158,15.829382817240544,144.60585936516816,15.984521385781528,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
5c08,-72.36232738402154,102.00873074649428,-108.5436636166472,-161.93524989226827,151.59396697413274,25.99115343342099,165.10332259022675,15.986609263160664,156.80529190355026,16.059946629305482,-73.35412261993012,98.69647807785469,-110.1332688702599,-159.87881696494114,148.8991273246578,26.286592572673182,163.00094894275037,15.822723098335125,143.28040280299905,16.012176143259225,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
5c09,-72.36258471375447,102.00849073132963,-108.54353905058092,-161.935293552512,151.59385267652186,25.991115044168357,165.1126731965319,15.987620551948767,156.8068796845833,16.060556262938356,-74.11128176908312,98.88058167557932,-109.3614813880959,-160.34146807209095,149.76640926285734,26.234273348011104,163.2530878451688,15.956284220656125,145.14463299988597,16.04952849230882,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
5c0a,-72.36256991724929,102.00862658559566,-108.5435084817676,-161.93561666368396,151.59437449351788,25.991117580551403,165.10177273669223,15.987391821900198,156.79383570482702,16.059548737003734,-73.0412692980603,99.66384402110998,-109.16211887030003,-160.72465886786222,149.17102717561818,26.3050547071278,163.7700393108443,15.950537419951534,163.36394296604988,15.90599468866433,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
5c0b,-72.36250958433986,102.00875170449177,-108.54374191569268,-161.9352361934756,151.59407440268376,25.990961106362786,165.11140191887546,15.987881401426586,156.81722832028777,16.06020007157909,-73.95469256841305,99.94050226488235,-109.64159562052154,-160.4606124270219,148.22940853221945,26.441022643196032,161.9981972802738,15.72396769063046,144.3613861279872,15.906700642557306,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
5c0c,-72.3626216193254,102.00863165544291,-108.54367995190402,-161.93536282753317,151.594234901424,25.99120163990645,165.1047175982535,15.987485364975068,156.81443767651865,16.060377049533383,-73.66367035635055,99.94012336676218,-109.44927128155406,-160.2877744811484,148.7123652878554,26.41617974898981,162.82147417506235,15.765528426928302,141.4609003695764,15.81232428145108,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01,TRAV12-3*01-TRAJ12*01|TRBV12-4*01-TRBJ2-4*01
